combination_id,combination_type,numerator_symbol,denominator_symbol,numerator_bar_grain,denominator_bar_grain,feature_bar_grain,interpretation,notes
kbe_xlf,daily_context,KBE,XLF,1d,30m,1d,bank stress or leadership vs financials,slow context only; do not forward-fill into 30m rows without accepted availability rule
kre_xlf,daily_context,KRE,XLF,1d,30m,1d,regional-bank stress or leadership vs financials,slow context only; do not forward-fill into 30m rows without accepted availability rule
xop_xle,daily_context,XOP,XLE,1d,30m,1d,upstream energy chain leadership vs energy sector,slow context only; do not forward-fill into 30m rows without accepted availability rule
xme_xlb,daily_context,XME,XLB,1d,30m,1d,metals/mining chain leadership vs materials sector,slow context only; do not forward-fill into 30m rows without accepted availability rule
xrt_xly,daily_context,XRT,XLY,1d,30m,1d,retail leadership vs consumer discretionary,slow context only; do not forward-fill into 30m rows without accepted availability rule
jets_xli,daily_context,JETS,XLI,1d,30m,1d,airlines leadership vs industrials,slow context only; do not forward-fill into 30m rows without accepted availability rule
iyt_xli,daily_context,IYT,XLI,1d,30m,1d,transport leadership vs industrials,slow context only; do not forward-fill into 30m rows without accepted availability rule
xbi_xlv,daily_context,XBI,XLV,1d,30m,1d,biotech risk appetite vs healthcare,slow context only; do not forward-fill into 30m rows without accepted availability rule
aiq_qqq,daily_context,AIQ,QQQ,1d,1m,1d,thematic AI/growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
arkf_qqq,daily_context,ARKF,QQQ,1d,1m,1d,fintech/blockchain thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
arkg_qqq,daily_context,ARKG,QQQ,1d,1m,1d,genomics thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
arkw_qqq,daily_context,ARKW,QQQ,1d,1m,1d,internet thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
arkx_qqq,daily_context,ARKX,QQQ,1d,1m,1d,space/defense thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
botz_qqq,daily_context,BOTZ,QQQ,1d,1m,1d,robotics thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
cibr_qqq,daily_context,CIBR,QQQ,1d,1m,1d,cybersecurity thematic growth appetite vs QQQ,slow context only; do not forward-fill into 30m rows without accepted availability rule
ewt_eem,daily_context,EWT,EEM,1d,1m,1d,Taiwan leadership/stress inside emerging-market complex,slow context only; do not forward-fill into 30m rows without accepted availability rule
ewy_eem,daily_context,EWY,EEM,1d,1m,1d,South Korea leadership/stress inside emerging-market complex,slow context only; do not forward-fill into 30m rows without accepted availability rule
ewz_eem,daily_context,EWZ,EEM,1d,1m,1d,Brazil leadership/stress inside emerging-market complex,slow context only; do not forward-fill into 30m rows without accepted availability rule
